source,target,length_m,highway,osm_way_id
305895971,8474748787,12.316,secondary,5109974
305895971,8474748786,13.005,secondary,5109974
8474748786,305895971,13.005,secondary,5109974
8474748786,365214854,135.379,secondary,5109974
365214854,8474748786,135.379,secondary,5109974
365214854,4332586848,10.284,secondary,5109974
4332586848,365214854,10.284,secondary,5109974
258955481,410791911,11.882,secondary,5120694
410791911,258955481,11.882,secondary,5120694
410791911,7515614571,11.086,secondary,5120694
7515614571,410791911,11.086,secondary,5120694
7515614571,4636005907,22.984,secondary,5120694
4636005907,7515614571,22.984,secondary,5120694
4636005907,369631694,31.574,secondary,5120694
369631694,4636005907,31.574,secondary,5120694
369631694,4100010434,19.048,secondary,5120694
4100010434,369631694,19.048,secondary,5120694
4100010434,5881502144,8.607,secondary,5120694
5881502144,4100010434,8.607,secondary,5120694
5881502144,4336249712,9.229,secondary,5120694
4336249712,5881502144,9.229,secondary,5120694
258022670,707902604,14.434,secondary,5120700
707902604,258022670,14.434,secondary,5120700
28289310,6940433337,23.746,secondary,5263032
6940433337,1448905814,28.677,secondary,5263032
